company_id,period,revenue_usd,cogs_usd,gross_profit_usd,gross_margin_pct,opex_usd,rd_expense_usd,selling_expense_usd,admin_expense_usd,operating_income_usd,interest_expense_usd,tax_expense_usd,net_income_usd,eps_basic,free_cash_flow_usd,cash_and_equivalents_usd,accounts_receivable_usd,inventory_usd,property_plant_equipment_usd,total_assets_usd,total_liabilities_usd,shareholders_equity_usd
C015,2020Q1,19000000,12000000,7000000,36.8,11000000,5800000,3000000,2200000,-4000000,300000,150000,-4450000,-0.35,-2100000,6800000,2700000,0,8200000,29000000,10700000,18300000
C015,2020Q2,20500000,12800000,7700000,37.6,11200000,5900000,3100000,2200000,-3500000,290000,140000,-3930000,-0.31,-1800000,7000000,2800000,0,8400000,29500000,10600000,18900000
C015,2020Q3,22200000,13600000,8600000,38.7,11400000,6000000,3200000,2200000,-2800000,280000,130000,-3210000,-0.25,-1500000,7200000,2900000,0,8600000,30000000,10500000,19500000
C015,2020Q4,24000000,14500000,9500000,39.6,11600000,6100000,3300000,2200000,-2100000,270000,120000,-2490000,-0.19,-1200000,7400000,3000000,0,8800000,30500000,10400000,20100000
C015,2021Q1,25500000,15200000,10300000,40.4,12000000,6300000,3400000,2300000,-1700000,260000,110000,-2070000,-0.16,-950000,7600000,3100000,0,9100000,31200000,10300000,20900000
C015,2021Q2,27200000,16000000,11200000,41.2,12400000,6500000,3600000,2300000,-1200000,250000,100000,-1550000,-0.12,-700000,7800000,3200000,0,9400000,31900000,10200000,21700000
C015,2021Q3,29000000,16800000,12200000,42.1,12800000,6700000,3800000,2300000,-600000,240000,90000,-930000,-0.07,-400000,8000000,3300000,0,9700000,32600000,10100000,22500000
C015,2021Q4,31200000,17800000,13400000,42.9,13200000,6900000,4000000,2300000,200000,230000,80000,-110000,-0.01,50000,8200000,3400000,0,10000000,33300000,10000000,23300000
C015,2022Q1,33600000,18900000,14700000,43.8,13800000,7200000,4200000,2400000,900000,220000,120000,560000,0.04,400000,8400000,3500000,0,10400000,34200000,9900000,24300000
C015,2022Q2,36200000,20100000,16100000,44.5,14400000,7500000,4400000,2500000,1700000,210000,160000,1330000,0.10,750000,8600000,3600000,0,10800000,35100000,9800000,25300000
C015,2022Q3,39000000,21400000,17600000,45.1,15000000,7800000,4700000,2500000,2600000,200000,200000,2200000,0.17,1100000,8800000,3700000,0,11200000,36000000,9700000,26300000
C015,2022Q4,42500000,23000000,19500000,45.9,15600000,8100000,5000000,2500000,3900000,190000,250000,3460000,0.26,1500000,9000000,3800000,0,11600000,36900000,9600000,27300000
C015,2023Q1,40200000,21800000,18400000,45.8,16400000,8500000,5200000,2700000,2000000,180000,280000,1540000,0.12,650000,8900000,3900000,0,12000000,37800000,9800000,28000000
C015,2023Q2,43800000,23600000,20200000,46.1,17000000,8800000,5400000,2800000,3200000,170000,320000,2710000,0.20,1100000,9200000,4000000,0,12400000,38700000,10000000,28700000
C015,2023Q3,47600000,25400000,22200000,46.6,17600000,9100000,5600000,2900000,4600000,160000,360000,4080000,0.30,1600000,9500000,4100000,0,12800000,39600000,10200000,29400000
C015,2023Q4,52000000,27500000,24500000,47.1,18200000,9400000,5800000,3000000,6300000,150000,420000,5730000,0.42,2200000,9800000,4200000,0,13200000,40500000,10400000,30100000
C015,2024Q1,48500000,25600000,22900000,47.2,19000000,9800000,6000000,3200000,3900000,140000,450000,3310000,0.24,1200000,9700000,4300000,0,13600000,41400000,10600000,30800000
C015,2024Q2,52800000,27700000,25100000,47.5,19600000,10200000,6200000,3200000,5500000,130000,500000,4870000,0.35,1800000,10000000,4400000,0,14000000,42300000,10800000,31500000
C015,2024Q3,57400000,29900000,27500000,47.9,20200000,10600000,6400000,3200000,7300000,120000,550000,6630000,0.48,2400000,10300000,4500000,0,14400000,43200000,11000000,32200000
C015,2024Q4,62800000,32400000,30400000,48.4,20800000,11000000,6600000,3200000,9600000,110000,650000,8840000,0.64,3200000,10600000,4600000,0,14800000,44100000,11200000,32900000
C015,2025Q1,58200000,29800000,28400000,48.8,21600000,11500000,6800000,3300000,6800000,100000,700000,6000000,0.43,2100000,10800000,4700000,0,15200000,45000000,11400000,33600000
C015,2025Q2,63500000,32200000,31300000,49.3,22200000,11800000,7000000,3400000,9100000,90000,750000,8260000,0.59,2800000,11100000,4800000,0,15600000,45900000,11600000,34300000
